stage,month,week,Released,Sex,OE.Y.N,Animal ID
A,5,1,5/13/15,M,0,A1
A,5,2,5/13/15,M,0,A1
A,5,2,5/17/15,M,0,A2
A,5,3,5/13/15,M,0,A1
A,5,3,5/17/15,M,0,A2
A,6,6,6/15/14,F,0,A19
A,6,6,6/17/15,F,0,A32
A,6,6,6/17/15,F,0,A34
A,6,6,6/19/15,M,0,A35
A,6,6,6/18/15,M,0,A36
A,6,6,6/18/15,F,0,A37
A,6,6,6/17/15,M,0,A31
A,6,6,6/18/15,M,0,A30
A,6,6,6/16/15,F,0,A10
A,6,6,6/16/15,F,0,A11
A,6,6,6/17/15,F,0,A24
A,6,6,6/18/15,F,0,A23
A,6,6,6/16/15,F,0,A8
A,6,6,6/17/15,F,0,A22
A,6,6,6/19/15,M,0,A40
A,6,6,6/16/15,M,0,A9
A,6,6,6/16/15,F,0,A26
A,6,6,6/16/15,M,0,A29
A,6,7,6/18/15,M,0,A36
A,6,7,6/18/15,F,0,A37
A,6,7,6/17/15,M,0,A31
A,6,7,6/18/15,M,0,A30
A,6,7,6/16/15,F,0,A10
A,6,7,6/16/15,F,0,A11
A,6,7,6/17/15,F,0,A24
A,6,7,6/18/15,F,0,A23
A,6,7,6/16/15,F,0,A8
A,6,7,6/17/15,F,0,A22
A,6,7,6/19/15,M,0,A40
A,6,7,6/16/15,M,0,A9
A,7,8,7/1/15,F,0,A47
A,7,8,7/4/15,F,0,A48
A,7,8,6/17/15,M,0,A31
A,7,8,6/18/15,M,0,A30
A,7,8,6/16/15,F,0,A8
A,7,8,6/17/15,F,0,A22
A,7,8,6/19/15,M,0,A40
A,7,8,6/16/15,M,0,A9
A,7,8,6/16/15,F,0,A26
A,7,8,6/16/15,M,0,A29
A,7,9,7/10/15,F,0,A52
A,7,9,6/18/15,M,0,A30
A,7,9,6/16/15,M,0,A9
A,7,10,7/17/15,M,0,A64
A,7,10,7/17/15,F,0,A66
A,7,10,7/17/15,F,0,A67
A,7,10,7/17/15,F,0,A68
A,7,10,7/18/15,M,0,A70
A,7,10,7/17/15,M,0,A59
A,7,10,7/17/15,F,0,A56
A,7,10,7/17/15,M,0,A61
A,7,10,7/18/15,M,0,A69
A,7,10,6/18/15,M,0,A30
A,7,11,7/24/15,M,0,A72
A,7,11,7/17/15,M,0,A59
A,7,11,7/25/15,M,0,A73
A,7,12,7/17/15,M,0,A59
A,7,12,7/17/15,F,0,A56
A,7,12,7/17/15,M,0,A61
A,7,12,7/18/15,M,0,A69
A,7,12,7/25/15,M,0,A73
A,7,12,8/2/15,F,0,A75
A,7,12,7/29/15,M,0,A74
A,8,13,8/8/15,M,0,A108
A,8,13,7/17/15,M,0,A59
A,8,13,7/17/15,M,0,A61
A,8,13,7/18/15,M,0,A69
A,8,13,8/2/15,F,0,A75
A,8,13,7/29/15,M,0,A74
A,8,13,8/8/15,F,0,A102
A,8,13,8/8/15,M,0,A98
A,8,14,8/15/15,M,0,A112
A,8,14,7/29/15,M,0,A74
A,8,14,8/8/15,F,0,A102
A,8,14,8/8/15,M,0,A98
A,8,14,8/15/15,M,0,A115
A,8,14,8/15/15,F,0,A114
A,8,15,8/23/15,F,0,A116
A,8,15,8/8/15,M,0,A98
A,8,15,8/15/15,M,0,A115
A,8,15,8/15/15,F,0,A114
A,8,15,8/23/15,M,0,A118
A,8,15,8/23/15,F,0,A119
A,8,16,8/23/15,M,0,A125
A,8,16,8/23/15,M,0,A121
A,8,16,8/23/15,M,0,A124
A,8,16,8/23/15,F,0,A130
A,8,16,8/23/15,M,0,A131
A,8,16,8/23/15,M,0,A134
A,8,16,8/23/15,F,0,A200
A,8,16,8/29/15,M,0,A302
A,8,16,8/29/15,M,0,A300
A,8,16,8/29/15,F,0,A301
A,8,16,8/29/15,M,0,A304
A,8,16,8/8/15,M,0,A98
A,8,16,8/23/15,M,0,A118
A,8,16,8/23/15,F,0,A119
A,8,16,8/23/15,M,0,A123
A,8,16,8/23/15,M,0,A133
A,8,16,8/23/15,M,0,A142
A,8,16,8/23/15,M,0,A149
A,8,16,8/29/15,F,0,A303
A,9,18,9/12/15,F,0,A333
A,9,18,9/12/15,M,0,A335
A,9,18,9/12/15,F,0,A338
A,9,18,9/12/15,F,0,A339
A,9,18,9/12/15,M,0,A342
A,9,18,9/12/15,M,0,A343
A,9,18,9/12/15,F,0,A345
A,9,18,9/12/15,F,0,A346
A,9,18,9/12/15,F,0,A347
A,9,18,9/12/15,F,0,A310
A,9,18,9/12/15,F,0,A311
A,9,18,9/12/15,M,0,A313
A,9,18,9/12/15,M,0,A314
A,9,18,9/12/15,F,0,A315
A,9,18,9/12/15,F,0,A319
A,9,18,9/12/15,M,0,A323
A,9,18,9/12/15,F,0,A350
A,9,18,9/12/15,F,0,A351
A,9,18,8/23/15,M,0,A123
A,9,18,8/23/15,M,0,A133
A,9,18,8/23/15,M,0,A142
A,9,18,8/23/15,M,0,A149
A,9,18,8/29/15,F,0,A303
A,9,18,9/12/15,M,0,A334
A,9,18,9/12/15,M,0,A336
A,9,18,9/12/15,M,0,A337
A,9,18,9/12/15,F,0,A306
A,9,18,9/12/15,M,0,A318
A,9,18,9/12/15,M,0,A321
A,9,18,9/12/15,M,0,A327
A,9,18,9/12/15,F,0,A328
A,9,18,9/12/15,M,0,A421
A,9,18,9/12/15,M,0,A431
A,9,18,9/12/15,F,0,A481
A,9,18,9/12/15,M,0,A494
A,9,18,9/12/15,M,0,A154
A,9,18,9/12/15,M,0,A158
A,9,18,9/12/15,M,0,A202
A,9,18,9/12/15,M,0,A212
A,9,18,9/12/15,M,0,A240
A,9,18,9/12/15,M,0,A250
A,9,18,9/12/15,M,0,A268
A,9,20,9/26/15,F,0,A601
A,9,20,9/26/15,F,0,A605
A,9,20,9/26/15,F,0,A608
A,9,20,9/26/15,F,0,A611
A,9,20,9/12/15,M,0,A334
A,9,20,9/12/15,M,0,A336
A,9,20,9/12/15,M,0,A337
A,9,20,9/12/15,F,0,A306
A,9,20,9/12/15,M,0,A318
A,9,20,9/12/15,M,0,A321
A,9,20,9/12/15,M,0,A327
A,9,20,9/12/15,F,0,A328
A,9,20,9/12/15,M,0,A421
A,9,20,9/12/15,M,0,A431
A,9,20,9/12/15,F,0,A481
A,9,20,9/12/15,M,0,A494
A,9,20,9/12/15,M,0,A154
A,9,20,9/12/15,M,0,A158
A,9,20,9/12/15,M,0,A202
A,9,20,9/12/15,M,0,A212
A,9,20,9/12/15,M,0,A240
A,9,20,9/12/15,M,0,A250
A,9,20,9/12/15,M,0,A268
A,8,13,8/8/15,F,0,A110
A,8,14,8/8/15,F,0,A110
A,8,15,8/8/15,F,0,A110
A,8,16,8/8/15,F,0,A110
A,9,18,9/12/15,M,0,A341
A,9,18,9/12/15,M,0,A316
A,9,20,9/12/15,M,0,A316
A,6,6,6/17/15,F,0,A42
A,6,7,6/17/15,F,0,A42
A,7,8,6/17/15,F,0,A42
A,9,18,9/12/15,F,0,A317
A,9,18,9/12/15,M,0,A322
A,9,18,9/12/15,M,0,A308
A,9,20,9/26/15,M,0,A600
A,9,20,9/26/15,M,0,A606
A,9,20,9/12/15,M,0,A308
A,7,10,7/17/15,M,0,A62
A,9,18,9/12/15,F,0,A340
A,9,18,9/12/15,F,0,A344
