month,week,Collected date,Sex,OE Y/N,Animal ID
6,4,6/5/15,M,0,L7
6,4,6/5/15,F,0,L8
6,4,6/5/15,M,0,L9
6,4,6/5/15,F,0,L11
6,4,6/5/15,F,0,L19
6,4,6/5/15,F,0,L26
6,4,6/5/15,M,0,L27
6,4,6/5/15,F,0,L28
6,4,6/5/15,M,0,L29
6,4,6/5/15,M,0,L31
6,4,6/5/15,F,0,L32
6,4,6/5/15,M,0,L30
6,4,6/5/15,F,0,L34
6,4,6/6/15,F,0,L10
6,4,6/6/15,M,0,L12
6,4,6/6/15,M,0,L16
6,4,6/6/15,F,0,L18
6,4,6/6/15,M,0,L21
6,4,6/6/15,F,0,L22
6,4,6/6/15,F,0,L23
6,4,6/6/15,F,0,L24
6,4,6/6/15,F,0,L33
6,4,6/6/15,M,0,L36
6,4,6/6/15,F,0,L5
7,8,7/3/15,F,0,L56
7,8,7/3/15,M,0,L61
7,8,7/3/15,M,0,L64
7,8,7/3/15,F,0,L66
7,12,7/31/15,M,0,L124
7,12,7/31/15,F,0,L126
8,12,8/1/15,M,0,L125
8,12,8/1/15,F,0,L127
8,12,8/1/15,F,0,L128
8,12,8/1/15,F,0,L130
8,12,8/1/15,M,0,L131
8,13,8/7/15,M,0,L133
8,13,8/7/15,F,0,L145
8,13,8/7/15,M,0,L142
8,13,8/7/15,M,0,L147
8,14,8/14/15,M,0,L153
8,14,8/14/15,M,0,L154
8,14,8/14/15,M,0,L162
8,14,8/14/15,F,0,L163
8,14,8/14/15,F,0,L164
8,14,8/14/15,M,0,L180
8,15,8/22/15,M,0,L188
8,15,8/22/15,F,0,L190
8,15,8/22/15,M,0,L191
8,15,8/22/15,F,0,L193
8,15,8/22/15,F,0,L194
8,15,8/22/15,M,0,L196
8,15,8/22/15,F,0,L197
8,15,8/22/15,F,0,L201
8,15,8/22/15,M,0,L202
8,15,8/22/15,F,0,L207
8,15,8/22/15,F,0,L209
8,15,8/22/15,M,0,L210
8,15,8/22/15,F,0,L211
8,15,8/22/15,M,0,L212
8,15,8/22/15,F,0,L213
8,15,8/22/15,F,0,L216
8,15,8/22/15,F,0,L219
8,15,8/22/15,M,0,L223
8,15,8/22/15,F,0,L224
8,15,8/22/15,F,0,L225
8,15,8/22/15,M,0,L226
8,15,8/22/15,F,0,L229
8,15,8/22/15,M,0,L240
8,15,8/22/15,F,0,L243
8,15,8/22/15,M,0,L244
8,15,8/22/15,F,0,L245
8,15,8/22/15,M,0,L246
8,15,8/22/15,M,0,L247
8,15,8/22/15,F,0,L249
8,15,8/22/15,M,0,L250
8,15,8/22/15,F,0,L251
8,15,8/22/15,M,0,L255
8,15,8/22/15,F,0,L256
8,15,8/22/15,M,0,L257
8,15,8/22/15,F,0,L263
8,15,8/22/15,M,0,L266
8,15,8/22/15,M,0,L268
8,15,8/22/15,F,0,L269
8,15,8/22/15,F,0,L272
8,15,8/22/15,M,0,L273
8,16,8/30/15,F,0,L408
8,16,8/30/15,F,0,L411
8,16,8/30/15,F,0,L412
8,16,8/30/15,F,0,L413
8,16,8/30/15,F,0,L415
8,16,8/30/15,F,0,L417
8,16,8/30/15,M,0,L421
8,16,8/30/15,M,0,L422
8,16,8/30/15,F,0,L426
8,16,8/30/15,F,0,L430
8,16,8/30/15,M,0,L431
8,16,8/30/15,F,0,L434
8,16,8/30/15,M,0,L437
8,16,8/30/15,M,0,L438
8,16,8/30/15,M,0,L442
8,16,8/30/15,F,0,L444
8,16,8/30/15,M,0,L446
8,16,8/30/15,M,0,L448
8,16,8/30/15,F,0,L449
8,16,8/30/15,F,0,L450
8,16,8/30/15,F,0,L452
8,16,8/30/15,F,0,L454
8,16,8/30/15,F,0,L455
8,16,8/30/15,F,0,L458
8,16,8/30/15,F,0,L460
8,16,8/30/15,M,0,L462
8,16,8/30/15,F,0,L466
8,16,8/30/15,M,0,L468
8,16,8/30/15,F,0,L469
8,16,8/30/15,F,0,L471
8,16,8/30/15,M,0,L472
8,16,8/30/15,F,0,L473
8,16,8/30/15,F,0,L474
8,16,8/30/15,M,0,L477
8,16,8/30/15,F,0,L481
8,16,8/30/15,F,0,L483
8,16,8/30/15,F,0,L487
8,16,8/30/15,F,0,L488
8,16,8/30/15,M,0,L492
8,16,8/30/15,M,0,L494
8,16,8/30/15,F,0,L496
9,18,9/12/15,M,0,L357
9,18,9/12/15,F,0,L506
9,18,9/12/15,M,0,L517
9,20,9/26/15,F,0,L597
8,14,8/14/15,F,0,L179
8,14,8/14/15,M,0,L158
8,14,8/14/15,M,0,L160
8,14,8/14/15,M,0,L161
6,4,6/5/15,F,1,L6
6,4,6/5/15,F,1,L14
6,4,6/6/15,M,1,L13
6,4,6/6/15,F,1,L15
6,4,6/6/15,M,1,L17
6,4,6/6/15,M,1,L20
6,4,6/6/15,M,1,L25
7,8,7/3/15,M,1,L55
7,8,7/3/15,F,1,L57
