Start date,week sampled,Month,Plot,Animal ID,Lineage,Plant ID,infections status,Notes
5/17/15,2,5,2,2-K5-B,B,2-K5,0,
5/17/15,2,5,2,2-L1-B,B,2-L1,0,
5/17/15,2,5,2,2-L1-G,G,2-L1,0,
5/17/15,2,5,2,2-L8-B,B,2-L8,0,
5/17/15,2,5,2,2-L8-G,G,2-L8,,failed to eclose
5/17/15,2,5,2,2-G6-B,B,2-G6,0,
5/17/15,2,5,2,2-G6-G,G,2-G6,0,
5/17/15,2,5,2,2-G3-B,B,2-G3,0,
5/17/15,2,5,2,2-G3-G,G,2-G3,0,
5/17/15,2,5,5,5-J7-B,B,5-J7,0,
5/17/15,2,5,5,5-J7-G,G,5-J7,0,
5/17/15,2,5,5,5-L1-B,B,5-L1,0,
5/17/15,2,5,5,5-L1-G,G,5-L1,0,
5/17/15,2,5,5,5-N1-B,B,5-N1,0,
5/17/15,2,5,5,5-N1-G,G,5-N1,0,
5/17/15,2,5,5,5-I2-B,B,5-I2,0,
5/17/15,2,5,5,5-I2-G,G,5-I2,0,
5/17/15,2,5,6,6-K6-B,B,6-K6,0,
5/17/15,2,5,6,6-K6-G,G,6-K6,,black death on 6/4/15
5/17/15,2,5,6,6-B2-B,B,6-B2,0,
5/17/15,2,5,6,6-B2-G,G,6-B2,0,
5/17/15,2,5,6,6-M5-B,B,6-M5,0,
5/17/15,2,5,6,6-M5-G,G,6-M5,0,
5/17/15,2,5,6,6-G8-B,B,6-G8,0,
5/17/15,2,5,6,6-G8-G,G,6-G8,0,
5/17/15,2,5,6,6-M2-B,B,6-M2,0,
5/17/15,2,5,6,6-M2-G,G,6-M2,0,
5/17/15,2,5,6,6-O1-B,B,6-O1,0,
5/17/15,2,5,10,10-O1-G,G,10-O1,0,
5/17/15,2,5,10,10-J5-B,B,10-J5,0,
5/17/15,2,5,10,10-J5-G,G,10-J5,0,
5/17/15,2,5,10,10-I8-B,B,10-I8,0,
5/17/15,2,5,10,10-I8-G,G,10-I8,0,
5/17/15,2,5,10,10-H8-B,B,10-H8,0,
5/17/15,2,5,10,10-H8-G,G,10-H8,0,
5/17/15,2,5,11,11-C1-B,B,11-C1,,failed to eclose
5/17/15,2,5,11,11-C1-G,G,11-C1,,failed to eclose
5/17/15,2,5,11,11-I6-B,B,11-I6,0,
5/17/15,2,5,11,11-I6-G,G,11-I6,0,
5/17/15,2,5,11,11-F1-B,B,11-F1,0,
5/17/15,2,5,11,11-F1-G,G,11-F1,0,
5/17/15,2,5,11,11-F3-B,B,11-F3,0,
5/17/15,2,5,11,11-F3-G,G,11-F3,0,
5/17/15,2,5,11,11-I3-B,B,11-I3,0,
5/17/15,2,5,11,11-I3-G,G,11-I3,0,
6/17/15,6,6,2,2-L1-B,B,2-L1,,no eat
6/17/15,6,6,2,2-L1-C,C,2-L1,0,
6/17/15,6,6,2,2-L1-D,D,2-L1,0,
6/17/15,6,6,2,2-I5-B,B,2-I5,,no eat
6/17/15,6,6,2,2-I5-C,C,2-I5,1,
6/17/15,6,6,2,2-I5-D,D,2-I5,0,
6/17/15,6,6,2,2-E5-B,B,2-E5,,no eat
6/17/15,6,6,2,2-E5-C,C,2-E5,0,
6/17/15,6,6,2,2-E5-D,D,2-E5,0,
6/17/15,6,6,2,2-G3-B,B,2-G3,1,
6/17/15,6,6,2,2-G3-C,C,2-G3,0,
6/17/15,6,6,2,2-G3-D,D,2-G3,1,
6/17/15,6,6,2,2-F5-B,B,2-F5,0,
6/17/15,6,6,2,2-F5-C,C,2-F5,0,
6/17/15,6,6,2,2-F5-D,D,2-F5,0,
6/17/15,6,6,4,4-A3-B,B,4-A3,,DEAD AT PUPA
6/17/15,6,6,4,4-A3-C,C,4-A3,,no eat
6/17/15,6,6,4,4-A3-D,D,4-A3,,DEAD AT PUPA
6/17/15,6,6,4,4-H5-B,B,4-H5,,no eat
6/17/15,6,6,4,4-H5-C,C,4-H5,0,
6/17/15,6,6,4,4-H5-D,D,4-H5,0,
6/17/15,6,6,4,4-H1-B,B,4-H1,,no eat
6/17/15,6,6,4,4-H1-C,C,4-H1,1,
6/17/15,6,6,4,4-H1-D,D,4-H1,0,
6/17/15,6,6,4,4-M7-B,B,4-M7,1,
6/17/15,6,6,4,4-M7-C,C,4-M7,1,
6/17/15,6,6,4,4-M7-D,D,4-M7,1,
6/17/15,6,6,4,4-H8-B,B,4-H8,0,
6/17/15,6,6,4,4-H8-C,C,4-H8,,
6/17/15,6,6,4,4-H8-D,D,4-H8,0,
6/17/15,6,6,5,5-I8-B,B,5-I8,1,
6/17/15,6,6,5,5-I8-C,C,5-I8,1,
6/17/15,6,6,5,5-I8-D,D,5-I8,,DEAD AT PUP
6/17/15,6,6,5,5-J6-B,B,5-J6,0,
6/17/15,6,6,5,5-J6-C,C,5-J6,,DEAD AT PUP
6/17/15,6,6,5,5-J6-D,D,5-J6,1,
6/17/15,6,6,5,5-M3-B,B,5-M3,,no eat
6/17/15,6,6,5,5-M3-C,C,5-M3,1,
6/17/15,6,6,5,5-M3-D,D,5-M3,0,
6/17/15,6,6,5,5-G5-B,B,5-G5,,no eat
6/17/15,6,6,5,5-G5-C,C,5-G5,0,
6/17/15,6,6,5,5-G5-D,D,5-G5,,DEAD BEFORE PUP
6/17/15,6,6,5,5-D5-B,B,5-D5,0,
6/17/15,6,6,5,5-D5-C,C,5-D5,1,
6/17/15,6,6,5,5-D5-D,D,5-D5,1,
6/17/15,6,6,6,6-I3-B,B,6-I3,,no eat
6/17/15,6,6,6,6-I3-C,C,6-I3,,no eat
6/17/15,6,6,6,6-I3-D,D,6-I3,0,
6/17/15,6,6,6,6-D2-B,B,6-D2,,no eat
6/17/15,6,6,6,6-D2-C,C,6-D2,1,
6/17/15,6,6,6,6-D2-D,D,6-D2,0,
6/17/15,6,6,6,6-E3-B,B,6-E3,0,
6/17/15,6,6,6,6-E3-C,C,6-E3,0,
6/17/15,6,6,6,6-E3-D,D,6-E3,0,
6/17/15,6,6,6,6-E7-B,B,6-E7,0,
6/17/15,6,6,6,6-E7-C,C,6-E7,0,
6/17/15,6,6,6,6-E7-D,D,6-E7,0,
6/17/15,6,6,6,6-N1-B,B,6-N1,,no eat
6/17/15,6,6,6,6-N1-C,C,6-N1,0,
6/17/15,6,6,6,6-N1-D,D,6-N1,0,
6/17/15,6,6,10,10-F3-B,B,10-F3,0,
6/17/15,6,6,10,10-F3-C,C,10-F3,0,
6/17/15,6,6,10,10-F3-D,D,10-F3,0,
6/17/15,6,6,10,10-O1-B,B,10-O1,0,
6/17/15,6,6,10,10-O1-C,C,10-O1,,DEAT AT PUP
6/17/15,6,6,10,10-O1-D,D,10-O1,0,
6/17/15,6,6,10,10-J4-B,B,10-J4,,DEAD BEFORE PUP
6/17/15,6,6,10,10-J4-C,C,10-J4,0,
6/17/15,6,6,10,10-J4-D,D,10-J4,0,
6/17/15,6,6,10,10-K1-B,B,10-K1,,no eat
6/17/15,6,6,10,10-K1-C,C,10-K1,1,
6/17/15,6,6,10,10-K1-D,D,10-K1,0,
6/17/15,6,6,10,10-H8-B,B,10-H8,,no eat
6/17/15,6,6,10,10-H8-C,C,10-H8,0,
6/17/15,6,6,10,10-H8-D,D,10-H8,0,
6/17/15,6,6,11,11-L7-B,B,11-L7,,no eat
6/17/15,6,6,11,11-L7-C,C,11-L7,1,
6/17/15,6,6,11,11-L7-D,D,11-L7,1,
6/17/15,6,6,11,11-I3-B,B,11-I3,1,
6/17/15,6,6,11,11-I3-C,C,11-I3,1,
6/17/15,6,6,11,11-I3-D,D,11-I3,0,
6/17/15,6,6,11,11-B3-B,B,11-B3,0,
6/17/15,6,6,11,11-B3-C,C,11-B3,1,
6/17/15,6,6,11,11-B3-D,D,11-B3,0,
6/17/15,6,6,11,11-N1-B,B,11-N1,0,
6/17/15,6,6,11,11-N1-C,C,11-N1,1,
6/17/15,6,6,11,11-N1-D,D,11-N1,1,
6/17/15,6,6,11,11-F3-B,B,11-F3,,DEAD BEFORE PUP
6/17/15,6,6,11,11-F3-C,C,11-F3,1,
6/17/15,6,6,11,11-F3-D,D,11-F3,0,
7/17/15,10,7,2,2-I5-C,C,2-I5,0,
7/17/15,10,7,2,2-I5-D,D,2-I5,0,
7/17/15,10,7,2,2-I5-E,E,2-I5,0,
7/17/15,10,7,2,2-J4-C,C,2-J4,1,
7/17/15,10,7,2,2-J4-D,D,2-J4,,
7/17/15,10,7,2,2-J4-E,E,2-J4,0,
7/17/15,10,7,2,2-F5-C,C,2-F5,0,
7/17/15,10,7,2,2-F5-D,D,2-F5,0,
7/17/15,10,7,2,2-F5-E,E,2-F5,1,
7/17/15,10,7,2,2-K5-C,C,2-K5,0,
7/17/15,10,7,2,2-K5-D,D,2-K5,0,
7/17/15,10,7,2,2-K5-E,E,2-K5,0,
7/17/15,10,7,2,2-G6-C,C,2-G6,1,
7/17/15,10,7,2,2-G6-D,D,2-G6,0,
7/17/15,10,7,2,2-G6-E,E,2-G6,0,
7/17/15,10,7,4,4-D5-D,D,4-D5,0,
7/17/15,10,7,4,4-K6-D,D,4-K6,0,
7/17/15,10,7,4,4-H1-D,D,4-H1,0,
7/17/15,10,7,4,4-A3-D,D,4-A3,,
7/17/15,10,7,4,4-E8-D,D,4-E8,0,
7/17/15,10,7,4,4-A8-D,D,4-A8,1,
7/17/15,10,7,5,5-E5-C,C,5-E5,0,
7/17/15,10,7,5,5-E5-D,D,5-E5,0,
7/17/15,10,7,5,5-E5-E,E,5-E5,0,
7/17/15,10,7,5,5-D7-C,C,5-D7,0,
7/17/15,10,7,5,5-D7-D,D,5-D7,0,
7/17/15,10,7,5,5-D7-E,E,5-D7,1,
7/17/15,10,7,5,5-I2-C,C,5-I2,,
7/17/15,10,7,5,5-I2-D,D,5-I2,0,
7/17/15,10,7,5,5-I2-E,E,5-I2,0,
7/17/15,10,7,5,5-I8-C,C,5-I8,0,
7/17/15,10,7,5,5-I8-D,D,5-I8,0,
7/17/15,10,7,5,5-I8-E,E,5-I8,0,
7/17/15,10,7,5,5-L1-C,C,5-L1,1,
7/17/15,10,7,5,5-L1-D,D,5-L1,0,
7/17/15,10,7,5,5-L1-E,E,5-L1,0,
7/17/15,10,7,6,6-C6-C,C,6-C6,0,
7/17/15,10,7,6,6-C6-D,D,6-C6,0,
7/17/15,10,7,6,6-C6-E,E,6-C6,0,
7/17/15,10,7,6,6-I3-C,C,6-I3,0,
7/17/15,10,7,6,6-I3-D,D,6-I3,0,
7/17/15,10,7,6,6-I3-E,E,6-I3,0,
7/17/15,10,7,6,6-L3-C,C,6-L3,0,
7/17/15,10,7,6,6-L3-D,D,6-L3,0,
7/17/15,10,7,6,6-L3-E,E,6-L3,0,
7/17/15,10,7,6,6-M5-C,C,6-M5,0,
7/17/15,10,7,6,6-M5-D,D,6-M5,0,
7/17/15,10,7,6,6-M5-E,E,6-M5,0,
7/17/15,10,7,6,6-E4-C,C,6-E4,0,
7/17/15,10,7,6,6-E4-D,D,6-E4,0,
7/17/15,10,7,6,6-E4-E,E,6-E4,0,
7/17/15,10,7,10,10-C3-C,C,10-C3,0,
7/17/15,10,7,10,10-C3-D,D,10-C3,1,
7/17/15,10,7,10,10-C3-E,E,10-C3,,
7/17/15,10,7,10,10-P4-C,C,10-P4,0,
7/17/15,10,7,10,10-P4-D,D,10-P4,0,
7/17/15,10,7,10,10-P4-E,E,10-P4,0,
7/17/15,10,7,10,10-H8-C,C,10-H8,0,
7/17/15,10,7,10,10-H8-D,D,10-H8,1,
7/17/15,10,7,10,10-H8-E,E,10-H8,,
7/17/15,10,7,10,10-J5-C,C,10-J5,,
7/17/15,10,7,10,10-J5-D,D,10-J5,0,
7/17/15,10,7,10,10-J5-E,E,10-J5,0,
7/17/15,10,7,10,10-K1-C,C,10-K1,0,
7/17/15,10,7,10,10-K1-D,D,10-K1,0,
7/17/15,10,7,10,10-K1-E,E,10-K1,0,
7/17/15,10,7,11,11-I4-C,C,11-I4,0,
7/17/15,10,7,11,11-I4-D,D,11-I4,1,
7/17/15,10,7,11,11-I4-E,E,11-I4,0,
7/17/15,10,7,11,11-A5-C,C,11-A5,1,
7/17/15,10,7,11,11-A5-D,D,11-A5,1,
7/17/15,10,7,11,11-A5-E,E,11-A5,1,
7/17/15,10,7,11,11-L7-C,C,11-L7,,
7/17/15,10,7,11,11-L7-D,D,11-L7,,
7/17/15,10,7,11,11-L7-E,E,11-L7,0,
7/17/15,10,7,11,11-I3-C,C,11-I3,0,
7/17/15,10,7,11,11-I3-D,D,11-I3,0,
7/17/15,10,7,11,11-I3-E,E,11-I3,0,
7/17/15,10,7,11,11-F3-C,C,11-F3,0,
7/17/15,10,7,11,11-F3-D,D,11-F3,0,
7/17/15,10,7,11,11-F3-E,E,11-F3,0,
8/17/15,14,8,2,2-O2-C1,C,2-O2,1,
8/17/15,14,8,2,2-O2-C2,C,2-O2,1,
8/17/15,14,8,2,2-O2-F,F,2-O2,1,
8/17/15,14,8,2,2-J4-F1,F,2-J4,,
8/17/15,14,8,2,2-J4-F2,F,2-J4,0,
8/17/15,14,8,2,2-J4-C,C,2-J4,,
8/17/15,14,8,2,2-G3-F1,F,2-G3,1,
8/17/15,14,8,2,2-G3-F2,F,2-G3,0,
8/17/15,14,8,2,2-G3-C,C,2-G3,0,
8/17/15,14,8,2,2-I5-F1,F,2-I5,0,
8/17/15,14,8,2,2-I5-F2,F,2-I5,0,
8/17/15,14,8,2,2-I5-C,C,2-I5,0,
8/17/15,14,8,2,2-L8-C1,C,2-L8,1,
8/17/15,14,8,2,2-L8-C2,C,2-L8,0,
8/17/15,14,8,2,2-L8-F,F,2-L8,1,
8/17/15,14,8,4,4-H4-F,F,4-H4,1,
8/17/15,14,8,4,4-K6-F,F,4-K6,1,
8/17/15,14,8,4,4-A3-F,F,4-A3,1,
8/17/15,14,8,4,4-E8-F,F,4-E8,1,
8/17/15,14,8,4,4-H8-F1,F,4-H8,1,
8/17/15,14,8,4,4-H8-F2,F,4-H8,1,
8/17/15,14,8,5,5-E5-F1,F,5-E5,,BLACK DEATH
8/17/15,14,8,5,5-E5-F2,F,5-E5,1,
8/17/15,14,8,5,5-E5-C,C,5-E5,1,
8/17/15,14,8,5,5-N1-C1,C,5-N1,0,
8/17/15,14,8,5,5-N1-C2,C,5-N1,1,
8/17/15,14,8,5,5-N1-F,F,5-N1,1,
8/17/15,14,8,5,5-I2-F1,F,5-I2,1,
8/17/15,14,8,5,5-I2-F2,F,5-I2,1,
8/17/15,14,8,5,5-I2-C,C,5-I2,1,
8/17/15,14,8,5,5-J7-C1,C,5-J7,0,
8/17/15,14,8,5,5-J7-C2,C,5-J7,0,
8/17/15,14,8,5,5-J7-F,F,5-J7,0,
8/17/15,14,8,5,5-G5-C1,C,5-G5,0,
8/17/15,14,8,5,5-G5-C2,C,5-G5,0,
8/17/15,14,8,5,5-G5-F,F,5-G5,1,
8/17/15,14,8,6,6-K6-C1,C,6-K6,0,
8/17/15,14,8,6,6-K6-C2,C,6-K6,0,
8/17/15,14,8,6,6-K6-F,F,6-K6,0,
8/17/15,14,8,6,6-E4-F1,F,6-E4,0,
8/17/15,14,8,6,6-E4-F2,F,6-E4,0,
8/17/15,14,8,6,6-E4-C,C,6-E4,0,
8/17/15,14,8,6,6-E7-F1,F,6-E7,0,
8/17/15,14,8,6,6-E7-F2,F,6-E7,0,
8/17/15,14,8,6,6-E7-C,C,6-E7,1,
8/17/15,14,8,6,6-G8-C1,C,6-G8,0,
8/17/15,14,8,6,6-G8-C2,C,6-G8,1,
8/17/15,14,8,6,6-G8-F,F,6-G8,1,
8/17/15,14,8,6,6-M5-C1,C,6-M5,1,
8/17/15,14,8,6,6-M5-C2,C,6-M5,0,
8/17/15,14,8,6,6-M5-F,F,6-M5,0,
8/17/15,14,8,10,10-I8-F1,F,10-I8,0,
8/17/15,14,8,10,10-I8-F2,F,10-I8,0,
8/17/15,14,8,10,10-I8-C,C,10-I8,1,
8/17/15,14,8,10,10-H8-C1,C,10-H8,0,
8/17/15,14,8,10,10-H8-C2,C,10-H8,0,
8/17/15,14,8,10,10-H8-F,F,10-H8,0,
8/17/15,14,8,10,10-C3-F,F,10-C3,0,
8/17/15,14,8,10,10-C3-C,C,10-C3,0,
8/17/15,14,8,10,10-C3-D,D,10-C3,0,
8/17/15,14,8,10,10-G3-F1,F,10-G3,0,
8/17/15,14,8,10,10-G3-F2,F,10-G3,0,
8/17/15,14,8,10,10-G3-C,C,10-G3,0,
8/17/15,14,8,10,10-J8-C1,C,10-J8,0,
8/17/15,14,8,10,10-J8-C2,C,10-J8,1,
8/17/15,14,8,10,10-J8-F,F,10-J8,0,
8/17/15,14,8,11,11-A5-F1,F,11-A5,1,
8/17/15,14,8,11,11-A5-F2,F,11-A5,0,
8/17/15,14,8,11,11-A5-C,C,11-A5,1,
8/17/15,14,8,11,11-I3-C1,C,11-I3,,
8/17/15,14,8,11,11-I3-C2,C,11-I3,0,
8/17/15,14,8,11,11-I3-F,F,11-I3,0,
8/17/15,14,8,11,11-C1-C1,C,11-C1,0,
8/17/15,14,8,11,11-C1-C2,C,11-C1,0,
8/17/15,14,8,11,11-C1-F,F,11-C1,1,
8/17/15,14,8,11,11-E6-F1,F,11-E6,,
8/17/15,14,8,11,11-E6-F2,F,11-E6,0,
8/17/15,14,8,11,11-E6-C,C,11-E6,0,
8/17/15,14,8,11,11-N1-F1,F,11-N1,0,
8/17/15,14,8,11,11-N1-F2,F,11-N1,0,
8/17/15,14,8,11,11-N1-C,C,11-N1,1,
8/17/15,14,8,11,11-I8-C,C,11-I8,1,
9/14/15,18,9,2,2-G6-F,F,2-G6,0,
9/14/15,18,9,2,2-G6-M,M,2-G6,1,
9/14/15,18,9,2,2-G6-W,W,2-G6,,STUCK AT 5TH
9/14/15,18,9,2,2-I3-F,F,2-I3,1,
9/14/15,18,9,2,2-I3-M,M,2-I3,1,
9/14/15,18,9,2,2-I3-W,W,2-I3,1,
9/14/15,18,9,2,2-I5-F,F,2-I5,,BLACK DEATH
9/14/15,18,9,2,2-I5-M,M,2-I5,1,
9/14/15,18,9,2,2-I5-W,W,2-I5,,DIED AT 4TH
9/14/15,18,9,2,2-J4-F,F,2-J4,,BLACK DEATH
9/14/15,18,9,2,2-J4-M,M,2-J4,0,
